Chinese Name,Binomial Name
绿翅短脚鹎,Ixos mcclellandii
四声杜鹃,Cuculus micropterus
栗背短脚鹎,Hemixos castanonotus
白腹凤鹛,Erpornis zantholeuca
领鸺鹠,Glaucidium brodiei
灰树鹊,Dendrocitta formosae
黄嘴栗啄木鸟,Blythipicus pyrrhotis
红胸啄花鸟,Dicaeum ignipectus
乌鹃,Surniculus lugubris
黄嘴角鸮,Otus spilocephalus
灰头鹀,Emberiza spodocephala
绿翅金鸠,Chalcophaps indica
蛇雕,Spilornis cheela
斑头鸺鹠,Glaucidium cuculoides
棕颈钩嘴鹛,Pomatorhinus ruficollis
大鹰鹃,Hierococcyx sparverioides
海南蓝仙鹟,Cyornis hainanus
红头咬鹃,Harpactes erythrocephalus
黑短脚鹎,Hypsipetes leucocephalus
白喉短翅鸫,Brachypteryx leucophris
黑喉噪鹛,Garrulax chinensis
领角鸮,Otus lettia
发冠卷尾,Dicrurus hottentottus
红头穗鹛,Stachyris ruficeps
方尾鹟,Culicicapa ceylonensis
小鳞胸鹪鹛,Pnoepyga pusilla
橙腹叶鹎,Chloropsis lazulina
棕脸鹟莺,Seicercus albogularis
八声杜鹃,Cacomantis merulinus
黄眉柳莺,Phylloscopus inornatus
小鸦鹃,Centropus bengalensis
大杜鹃,Cuculus canorus
朱背啄花鸟,Dicaeum cruentatum
叉尾太阳鸟,Aethopyga latouchii
红嘴蓝鹊,Urocissa erythroryncha
灰头绿啄木鸟,Picus canus
金腰燕,Cecropis daurica
普通翠鸟,Alcedo atthis
白头鹎,Pycnonotus sinensis
北灰鹟,Muscicapa dauurica
白眉姬鹟,Ficedula zanthopygia
黄颊山雀,Machlolophus spilonotus
灰鹡鸰,Motacilla cinerea
夜鹭,Nycticorax nycticorax
黑翅鸢,Elanus caeruleus
铜蓝鹟,Eumyias thalassinus
