Species,Latin Name,Diet
环颈山鹧鸪,Arborophila torqueola,杂食性
四川山鹧鸪,Arborophila rufipectus,杂食性
红喉山鹧鸪,Arborophila rufogularis,杂食性
白眉山鹧鸪,Arborophila gingica,杂食性
白颊山鹧鸪,Arborophila atrogularis,杂食性
褐胸山鹧鸪,Arborophila brunneopectus,杂食性
台湾山鹧鸪,Arborophila crudigularis,杂食性
海南山鹧鸪,Arborophila ardens,杂食性
绿脚树鹧鸪,Tropicoperdix chloropus,杂食性
花尾榛鸡,Tetrastes bonasia,杂食性
斑尾榛鸡,Tetrastes sewerzowi,杂食性
镰翅鸡,Falcipennis falcipennis,杂食性
松鸡,Tetrao urogallus,杂食性
黑嘴松鸡,Tetrao urogalloides,杂食性
黑琴鸡,Lyrurus tetrix,杂食性
柳雷鸟,Lagopus lagopus,杂食性
岩雷鸟,Lagopus muta,杂食性
雪鹑,Lerwa lerwa,杂食性
红喉雉鹑,Tetraophasis obscurus,杂食性
黄喉雉鹑,Tetraophasis szechenyii,杂食性
暗腹雪鸡,Tetraogallus himalayensis,杂食性
藏雪鸡,Tetraogallus tibetanus,杂食性
阿尔泰雪鸡,Tetraogallus altaicus,杂食性
石鸡,Alectoris chukar,杂食性
大石鸡,Alectoris magna,杂食性
中华鹧鸪,Francolinus pintadeanus,杂食性
灰山鹑,Perdix perdix,杂食性
斑翅山鹑,Perdix dauurica,杂食性
高原山鹑,Perdix hodgsoniae,杂食性
西鹌鹑,Coturnix coturnix,杂食性
鹌鹑,Coturnix japonica,杂食性
蓝胸鹑,Synoicus chinensis,杂食性
棕胸竹鸡,Bambusicola fytchii,杂食性
灰胸竹鸡,Bambusicola thoracicus,杂食性
台湾竹鸡,Bambusicola sonorivox,杂食性
血雉,Ithaginis cruentus,杂食性
红胸角雉,Tragopan satyra,杂食性
黑头角雉,Tragopan melanocephalus,杂食性
灰腹角雉,Tragopan blythii,杂食性
红腹角雉,Tragopan temminckii,杂食性
黄腹角雉,Tragopan caboti,杂食性
勺鸡,Pucrasia macrolopha,杂食性
棕尾虹雉,Lophophorus impejanus,杂食性
白尾梢虹雉,Lophophorus sclateri,杂食性
绿尾虹雉,Lophophorus lhuysii,杂食性
红原鸡,Gallus gallus,杂食性
黑鹇,Lophura leucomelanos,杂食性
白鹇,Lophura nycthemera,杂食性
蓝腹鹇,Lophura swinhoii,杂食性
藏马鸡,Crossoptilon harmani,杂食性
白马鸡,Crossoptilon crossoptilon,杂食性
褐马鸡,Crossoptilon mantchuricum,杂食性
蓝马鸡,Crossoptilon auritum,杂食性
白颈长尾雉,Syrmaticus ellioti,杂食性
黑颈长尾雉,Syrmaticus humiae,杂食性
黑长尾雉,Syrmaticus mikado,杂食性
白冠长尾雉,Syrmaticus reevesii,杂食性
环颈雉,Phasianus colchicus,杂食性
红腹锦鸡,Chrysolophus pictus,杂食性
白腹锦鸡,Chrysolophus amherstiae,杂食性
灰孔雀雉,Polyplectron bicalcaratum,杂食性
海南孔雀雉,Polyplectron katsumatae,杂食性
绿孔雀,Pavo muticus,杂食性
红胸山鹧鸪,Arborophila mandellii,杂食性
栗树鸭,Dendrocygna javanica,杂食性
鸿雁,Anser cygnoid,杂食性
豆雁,Anser fabalis,杂食性
短嘴豆雁,Anser serrirostris,杂食性
灰雁,Anser anser,杂食性
白额雁,Anser albifrons,杂食性
小白额雁,Anser erythropus,杂食性
斑头雁,Anser indicus,杂食性
雪雁,Anser caerulescens,杂食性
加拿大雁,Branta canadensis,杂食性
小美洲黑雁,Branta hutchinsii,杂食性
黑雁,Branta bernicla,杂食性
白颊黑雁,Branta leucopsis,杂食性
红胸黑雁,Branta ruficollis,杂食性
疣鼻天鹅,Cygnus olor,杂食性
大天鹅,Cygnus cygnus,杂食性
小天鹅,Cygnus columbianus,杂食性
瘤鸭,Sarkidiornis melanotos,杂食性
翘鼻麻鸭,Tadorna tadorna,杂食性
赤麻鸭,Tadorna ferruginea,杂食性
鸳鸯,Aix galericulata,杂食性
棉凫,Nettapus coromandelianus,杂食性
赤膀鸭,Mareca strepera,杂食性
罗纹鸭,Mareca falcata,杂食性
赤颈鸭,Mareca penelope,杂食性
绿头鸭,Anas platyrhynchos,杂食性
棕颈鸭,Anas luzonica,杂食性
印度斑嘴鸭,Anas poecilorhyncha,杂食性
斑嘴鸭,Anas zonorhyncha,杂食性
针尾鸭,Anas acuta,杂食性
白眉鸭,Spatula querquedula,杂食性
绿翅鸭,Anas crecca,杂食性
琵嘴鸭,Spatula clypeata,杂食性
花脸鸭,Sibirionetta formosa,杂食性
云石斑鸭,Marmaronetta angustirostris,杂食性
赤嘴潜鸭,Netta rufina,杂食性
帆背潜鸭,Aythya valisineria,杂食性
红头潜鸭,Aythya ferina,杂食性
白眼潜鸭,Aythya nyroca,杂食性
青头潜鸭,Aythya baeri,杂食性
凤头潜鸭,Aythya fuligula,食肉
斑背潜鸭,Aythya marila,杂食性
小绒鸭,Polysticta stelleri,杂食性
丑鸭,Histrionicus histrionicus,食肉，食虫
黑海番鸭,Melanitta americana,杂食性
斑脸海番鸭,Melanitta fusca,杂食性
长尾鸭,Clangula hyemalis,食肉，食虫
鹊鸭,Bucephala clangula,食肉，食虫
斑头秋沙鸭,Mergellus albellus,食肉
红胸秋沙鸭,Mergus serrator,食肉，食虫
中华秋沙鸭,Mergus squamatus,食肉，食虫
白头硬尾鸭,Oxyura leucocephala,杂食性
普通秋沙鸭,Mergus merganser,食肉，食虫
绿眉鸭,Mareca americana,杂食性
小䴙䴘,Tachybaptus ruficollis,食肉，食虫
赤颈䴙䴘,Podiceps grisegena,食肉，食虫
凤头䴙䴘,Podiceps cristatus,食肉，食虫
角䴙䴘,Podiceps auritus,食肉，食虫
黑颈䴙䴘,Podiceps nigricollis,食虫，食肉
大红鹳,Phoenicopterus roseus,杂食性
原鸽,Columba livia,食种子
岩鸽,Columba rupestris,食种子，食果实
雪鸽,Columba leuconota,食种子，食果实
欧鸽,Columba oenas,食茎叶，食果实，食种子
斑尾林鸽,Columba palumbus,食果实，食种子，食茎叶
中亚鸽,Columba eversmanni,食果实、食种子
斑林鸽,Columba hodgsonii,杂食性
灰林鸽,Columba pulchricollis,食果实，食种子
紫林鸽,Columba punicea,食果实，食种子
黑林鸽,Columba janthina,食果实、食种子
欧斑鸠,Streptopelia turtur,食果实，食种子
山斑鸠,Streptopelia orientalis,杂食性
火斑鸠,Streptopelia tranquebarica,杂食性
灰斑鸠,Streptopelia decaocto,杂食性
棕斑鸠,Streptopelia senegalensis,食果实，食种子
珠颈斑鸠,Streptopelia chinensis,杂食性
斑尾鹃鸠,Macropygia unchall,食果实，食种子
菲律宾鹃鸠,Macropygia tenuirostris,食果实，食种子
小鹃鸠,Macropygia ruficeps,食果实，食种子
绿翅金鸠,Chalcophaps indica,食果实，食种子
橙胸绿鸠,Treron bicinctus,食果实，食种子
灰头绿鸠,Treron pompadora,食果实，食种子
厚嘴绿鸠,Treron curvirostra,食果实，食种子
黄脚绿鸠,Treron phoenicopterus,食果实，食种子
针尾绿鸠,Treron apicauda,食果实
楔尾绿鸠,Treron sphenurus,食果实，食种子
红翅绿鸠,Treron sieboldii,食果实，食种子
红顶绿鸠,Treron formosae,食果实，食种子
黑颏果鸠,Ptilinopus leclancheri,食茎叶，食果实
绿皇鸠,Ducula aenea,食果实
山皇鸠,Ducula badia,食果实，食种子
西藏毛腿沙鸡,Syrrhaptes tibetanus,杂食性
毛腿沙鸡,Syrrhaptes paradoxus,食茎叶，食果实，食种子
黑腹沙鸡,Pterocles orientalis,杂食性
黑顶蛙口夜鹰,Batrachostomus hodgsoni,食肉，食虫
普通夜鹰,Caprimulgus indicus,食虫
欧夜鹰,Caprimulgus europaeus,食虫
毛腿夜鹰,Lyncornis macrotis,食虫
埃及夜鹰,Caprimulgus aegyptius,食虫
中亚夜鹰,Caprimulgus centralasicus,食虫
长尾夜鹰,Caprimulgus macrurus,食虫
林夜鹰,Caprimulgus affinis,食虫
凤头雨燕,Hemiprocne coronata,食虫
爪哇金丝燕,Aerodramus fuciphagus,食虫
短嘴金丝燕,Aerodramus brevirostris,食虫
白喉针尾雨燕,Hirundapus caudacutus,食虫
灰喉针尾雨燕,Hirundapus cochinchinensis,食虫
大金丝燕,Aerodramus maximus,食虫
褐背针尾雨燕,Hirundapus giganteus,食虫
紫针尾雨燕,Hirundapus celebensis,食虫
棕雨燕,Cypsiurus balasiensis,食虫
高山雨燕,Tachymarptis melba,食虫
普通雨燕,Apus apus,食虫
白腰雨燕,Apus pacificus,食虫
小白腰雨燕,Apus nipalensis,食虫
暗背雨燕,Apus acuticauda,NA
褐翅鸦鹃,Centropus sinensis,食虫，食肉
小鸦鹃,Centropus bengalensis,食虫
绿嘴地鹃,Phaenicophaeus tristis,食虫
斑翅凤头鹃,Clamator Jacobinus,食虫
红翅凤头鹃,Clamator coromandus,食虫
翠金鹃,Chrysococcyx maculatus,食虫
噪鹃,Eudynamys scolopaceus,杂食性
栗斑杜鹃,Cacomantis sonneratii,食虫
紫金鹃,Chrysococcyx xanthorhynchus,食虫
八声杜鹃,Cacomantis merulinus,食虫
乌鹃,Surniculus lugubris,食虫
大鹰鹃,Hierococcyx sparverioides,食虫
普通鹰鹃,Hierococcyx varius,食虫
北棕腹鹰鹃,Hierococcyx hyperythrus,食虫
棕腹鹰鹃,Hierococcyx nisicolor,食虫
小杜鹃,Cuculus poliocephalus,食虫
四声杜鹃,Cuculus micropterus,食虫
大杜鹃,Cuculus canorus,食虫
东方中杜鹃,Cuculus optatus,食虫
中杜鹃,Cuculus saturatus,食虫
大鸨,Otis tarda,杂食性
波斑鸨,Chlamydotis macqueenii,杂食性
小鸨,Tetrax tetrax,杂食性
花田鸡,Coturnicops exquisitus,杂食性
红脚斑秧鸡,Rallina fasciata,杂食性
白喉斑秧鸡,Rallina eurizonoides,食虫，食肉
灰胸秧鸡,Lewinia striata,杂食性
普通秧鸡,Rallus indicus,杂食性
西秧鸡,Rallus aquaticus,杂食性
长脚秧鸡,Crex crex,杂食性
棕背田鸡,Zapornia bicolor,食虫
斑胸田鸡,Porzana porzana,食虫，食肉
红脚田鸡,Zapornia akool,NA
姬田鸡,Zapornia parva,杂食性
小田鸡,Zapornia pusilla,食虫，食肉
红胸田鸡,Zapornia fusca,杂食性
斑胁田鸡,Zapornia paykullii,杂食性
白眉苦恶鸟,Amaurornis cinerea,杂食性
董鸡,Gallicrex cinerea,杂食性
紫水鸡,Porphyrio porphyrio,杂食性
黑水鸡,Gallinula chloropus,杂食性
白骨顶,Fulica atra,杂食性
白胸苦恶鸟,Amaurornis phoenicurus,杂食性
白鹤,Grus leucogeranus,杂食性
沙丘鹤,Grus canadensis,杂食性
赤颈鹤,Grus antigone,杂食性
白枕鹤,Grus vipio,杂食性
蓑羽鹤,Grus virgo,杂食性
灰鹤,Grus grus,杂食性
丹顶鹤,Grus japonensis,杂食性
白头鹤,Grus monacha,杂食性
黑颈鹤,Grus nigricollis,杂食性
石鸻,Burhinus oedicnemus,食肉，食虫
大石鸻,Esacus recurvirostris,食肉
蛎鹬,Haematopus ostralegus,食肉，食虫
鹮嘴鹬,Ibidorhyncha struthersii,食虫，食肉
黑翅长脚鹬,Himantopus himantopus,食肉，食虫
反嘴鹬,Recurvirostra avosetta,食肉，食虫
凤头麦鸡,Vanellus vanellus,杂食性
距翅麦鸡,Vanellus duvaucelii,食虫，食肉
灰头麦鸡,Vanellus cinereus,杂食性
肉垂麦鸡,Vanellus indicus,食虫、食肉
黄颊麦鸡,Vanellus gregarius,食虫、食肉
白尾麦鸡,Vanellus leucurus,NA
欧金鸻,Pluvialis apricaria,NA
金鸻,Pluvialis fulva,食虫，食肉
灰鸻,Pluvialis squatarola,食虫，食肉
剑鸻,Charadrius hiaticula,食肉
长嘴剑鸻,Charadrius placidus,杂食性
金眶鸻,Charadrius dubius,食虫
环颈鸻,Charadrius alexandrinus,食虫，食肉
蒙古沙鸻,Charadrius mongolus,食虫，食肉
铁嘴沙鸻,Charadrius leschenaultii,食虫
