"label","selec","start","end","path","file","threshold","ribbit"
"P",2,253.25,557.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_113915.wav","hmm",0.20859898515914
"P",8,1053.25,1234.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_113915.wav","hmm",0.186540125546677
"P",15,2240.75,2607.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_123902.wav","hmm",0.0842888452237316
"P",16,3066.75,3384.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_123902.wav","hmm",0.0664057537737762
"P",3,1736.25,2773.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_133902.wav","hmm",0.0437419747369139
"P",6,1049.25,2988.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_143902.wav","hmm",0.0355654597629406
"P",4,1690.75,1897.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_153902.wav","hmm",0.200807525614545
"P",5,1964.25,2243.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_153902.wav","hmm",0.144520168933773
"P",1,600.75,1227.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_163902.wav","hmm",0.135127166203895
"P",8,2665.75,2911.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_163902.wav","hmm",0.164419201229919
"P",1,516.25,1258.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210602_173902.wav","hmm",0.0601457465401512
"P",1,3.75,464.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_060000.wav","hmm",0.121308637142667
"P",20,3228.75,3586.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_060000.wav","hmm",0.227186423490768
"P",20,2898.25,3153.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_070002.wav","hmm",0.153941279957088
"P",21,3198.75,3597.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_070002.wav","hmm",0.238570463486037
"P",2,130.25,325.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_080002.wav","hmm",0.383671274601782
"P",6,677.25,1486.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_080002.wav","hmm",0.254216648588772
"P",8,2044.25,3588.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_080002.wav","hmm",0.259304245666951
"P",1,1.25,376.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_090002.wav","hmm",0.324215622889481
"P",3,707.25,1475.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_090002.wav","hmm",0.272578041391749
"P",13,2767.25,2973.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_090002.wav","hmm",0.306333502000149
"P",3,162.25,432.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_100002.wav","hmm",0.281932530916633
"P",8,2521.25,2753.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_110002.wav","hmm",0.118251249017804
"P",1,0.25,186.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_120002.wav","hmm",0.186468521641123
"P",11,2755.75,3307.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_120002.wav","hmm",0.049514211004126
"P",1,1.75,492.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_130002.wav","hmm",0.10220440627276
"P",4,978.25,1392.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_130002.wav","hmm",0.071966277241966
"P",5,1479.75,1683.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_130002.wav","hmm",0.131066047486458
"P",9,2615.75,3144.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_130002.wav","hmm",0.0610034260212942
"P",11,2964.25,3183.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_140002.wav","hmm",0.161042008205247
"P",3,1949.75,2653.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_150002.wav","hmm",0.0756611707012029
"P",1,198.25,611.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_160002.wav","hmm",0.0625928922580437
"P",3,3169.75,3597.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_160002.wav","hmm",0.091317975125518
"P",2,200.25,537.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_170002.wav","hmm",0.0632420759897301
"P",6,1467.25,1789.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210603_170002.wav","hmm",0.154592433203265
"P",4,279.75,610.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_070002.wav","hmm",0.29164955435787
"P",7,847.75,1029.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_070002.wav","hmm",0.198939709259017
"P",9,1197.25,1404.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_070002.wav","hmm",0.260759257585372
"P",14,2183.75,2780.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_070002.wav","hmm",0.276923486737189
"P",15,2835.75,3597.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_070002.wav","hmm",0.261403675749986
"P",1,0.25,254.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_080002.wav","hmm",0.252226869769321
"P",14,1227.75,1612.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_080002.wav","hmm",0.35353825530156
"P",21,2337.75,2692.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_080002.wav","hmm",0.244654930902547
"P",22,2725.25,3593.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_080002.wav","hmm",0.210660743295484
"P",1,0.25,1289.25,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_090002.wav","hmm",0.190770206967242
"P",5,1818.75,2019.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_090002.wav","hmm",0.175989444852046
"P",9,2432.25,2673.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_090002.wav","hmm",0.186233478418848
"P",1,0.25,1326.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_100002.wav","hmm",0.342281229270589
"P",6,2470.75,3597.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_110002.wav","hmm",0.0251324195036892
"P",1,0.25,1163.75,"I:/Autonomous_rec/2021.6/A/SMA04217(A12)/src_data","SMA04217_20210604_120002.wav","hmm",0.0113291967163512
