"Site","RaptT","InseT","OmniT","FlorT","TotalT","GibbonT","count","RaptD","InseD","OmniD","FlorD","TotalD","GibbonD","Alt","Slope","Habitat","Cover","RaptMaxMax","InseMaxMax","OmniMaxMax","FlorMaxMax","TotalMaxMax","GibbonMaxMax","RaptAMax","InseAMax","OmniAMax","FlorAMax","TotalAMax","GibbonAMax","RaptMaxA","InseMaxA","OmniMaxA","FlorMaxA","TotalMaxA","GibbonMaxA","SppCount","RaptCount","InseCount","OmniCount","Group"
"A10",114,1209,321,9,1653,105,362,0.314917127071823,3.33977900552486,0.886740331491713,0.0248618784530387,4.56629834254144,0.290055248618785,745,1,"Coniferous+Broadleaf",0.95,11,276,19,7,292,4,2.4375,20.34375,5.84375,0.28125,25.21875,1.71875,2,33,3.69230769230769,1.16666666666667,36.8461538461538,2,23,5,7,10,"A"
"A11",49,509,136,0,694,25,425,0.115294117647059,1.19764705882353,0.32,0,1.63294117647059,0.0588235294117647,849.9,3,"Broadleaf",0.9,35,124,40,0,124,2,1.2972972972973,6.94594594594595,2.64864864864865,0,9.72972972972973,0.432432432432432,3,25.5833333333333,4.41666666666667,0,27.6666666666667,0.416666666666667,16,4,5,7,"A"
"A12",91,433,1448,0,1972,30,385,0.236363636363636,1.12467532467532,3.76103896103896,0,5.12207792207792,0.0779220779220779,875,4,"Broadleaf",0.85,16,54,176,0,176,2,2.05882352941176,7.5,20.4411764705882,0,25.7647058823529,0.529411764705882,1.5,7.83333333333333,28.25,0,28.4166666666667,0.416666666666667,21,4,7,10,"A"
"B1",130,231,2786,0,3147,207,1160,0.112068965517241,0.199137931034483,2.40172413793103,0,2.71293103448276,0.178448275862069,936,3,"Broadleaf",0.7,15,40,92,0,92,3,1.21,1.53,13.05,0,14.27,0.99,1.5,4.16666666666667,22.8333333333333,0,23.5,0.833333333333333,23,5,5,13,"B"
"B2",402,209,1727,0,2338,225,1187,0.338668913226622,0.176074136478517,1.45492839090143,0,1.96967144060657,0.18955349620893,1044,2,"Broadleaf",0.5,56,41,68,0,68,3,2.7029702970297,1.69306930693069,10.5445544554455,0,12.5742574257426,1.03960396039604,11.25,4.08333333333333,10.3333333333333,0,11.9166666666667,0.666666666666667,22,4,6,12,"B"
"B3",78,876,4350,1,5305,219,1201,0.0649458784346378,0.729392173189009,3.62198168193172,0.000832639467110741,4.41715237302248,0.182348043297252,1118,3,"Broadleaf",0.8,15,111,120,1,122,4,0.617647058823529,7.05882352941176,21.7647058823529,0.00980392156862745,26.4313725490196,1.1078431372549,1.33333333333333,9.25,40.4166666666667,0.0833333333333333,40.5833333333333,1,24,5,7,11,"B"
"C7",41,127,220,7,395,12,206,0.199029126213592,0.616504854368932,1.06796116504854,0.0339805825242718,1.91747572815534,0.058252427184466,680,4,"Broadleaf",0.95,8,21,35,1,56,2,1.83333333333333,4.83333333333333,6.27777777777778,0.222222222222222,10.1666666666667,0.5,0.75,2.41666666666667,5.08333333333333,1,6.33333333333333,0.25,13,1,5,6,"C"
"C8",357,362,478,8,1205,37,408,0.875,0.887254901960784,1.17156862745098,0.0196078431372549,2.95343137254902,0.0906862745098039,758,4,"Broadleaf",0.95,47,51,29,3,64,2,6.62162162162162,5.7027027027027,6.54054054054054,0.189189189189189,14.5405405405405,0.702702702702703,5.66666666666667,11.5833333333333,4.66666666666667,0.25,14,0.25,26,5,8,12,"C"
"C9",103,24,220,0,347,14,185,0.556756756756757,0.12972972972973,1.18918918918919,0,1.87567567567568,0.0756756756756757,861,4,"Broadleaf",0.95,20,13,23,0,23,2,4.64705882352941,1.11764705882353,7.82352941176471,0,10.5882352941176,0.647058823529412,2.08333333333333,1.41666666666667,7,0,7,0.272727272727273,19,4,5,10,"C"
"D4",280,571,2731,0,3582,173,709,0.394922425952045,0.805359661495063,3.85190409026798,0,5.05218617771509,0.244005641748942,1048,2,"Broadleaf",0.65,38,77,80,0,81,3,3.33870967741935,5.74193548387097,22.258064516129,0,26.5322580645161,1.19354838709677,4.08333333333333,12.4166666666667,15.6666666666667,0,25.1666666666667,0.666666666666667,20,4,6,10,"D"
"D5",49,2927,995,0,3971,177,1186,0.0413153456998314,2.46795952782462,0.838954468802698,0,3.34822934232715,0.149241146711636,928,2,"Broadleaf",0.9,5,378,114,0,380,3,0.396039603960396,14.029702970297,6.1980198019802,0,19.3168316831683,0.940594059405941,0.416666666666667,87.25,9.83333333333333,0,88.5,0.666666666666667,20,4,4,12,"D"
"D6",830,1649,1837,0,4316,205,1180,0.703389830508475,1.39745762711864,1.55677966101695,0,3.65762711864407,0.173728813559322,1001,3,"Broadleaf",0.9,89,158,66,0,158,5,5.47,10.29,12.06,0,23.77,1,15.25,18.25,10.1666666666667,0,22.5,1.25,21,3,6,12,"D"
"E13",247,323,1603,0,2173,44,380,0.65,0.85,4.21842105263158,0,5.71842105263158,0.115789473684211,780.4,3,"Coniferous+Broadleaf",0.85,67,83,66,0,86,2,4.95238095238095,5.80952380952381,18.5952380952381,0,24.3809523809524,0.595238095238095,8.375,7.16666666666667,13.25,0,15.375,0.416666666666667,20,5,6,9,"E"
"E14",478,466,1376,1,2321,78,403,1.18610421836228,1.15632754342432,3.41439205955335,0.00248138957816377,5.75930521091811,0.193548387096774,808,1,"Broadleaf",0.9,49,68,78,1,82,2,5.95454545454545,7.52272727272727,17.5454545454545,0.0227272727272727,25.0909090909091,1.04545454545455,19.3333333333333,9.875,14.875,0.0833333333333333,23,1,23,4,6,12,"E"
"E15",531,62,818,2,1413,81,406,1.30788177339901,0.152709359605911,2.01477832512315,0.00492610837438424,3.48029556650246,0.199507389162562,831,3,"Broadleaf",0.95,41,7,51,2,51,3,8.22222222222222,1.17777777777778,10.4222222222222,0.0444444444444444,14.8888888888889,1.06666666666667,10.5,0.666666666666667,9.125,0.25,19,2,21,4,6,10,"E"
